ID,Número de Caso,Fecha,Tipo Principal,Descripción,Ubicación,¿Hubo Arresto?,Violencia Doméstica,Distrito,Barrio,Área Comunitaria,Latitud,Longitud,Año,Mes,Día,Hora,Día de la Semana,¿Es Fin de Semana?
10508335,HZ249649,2016-05-03 12:50:00,ROBBERY,ARMED: HANDGUN,SIDEWALK,No,No,6.0,17.0,71.0,41.755425926,-87.646594329,2016,5,3,12,Martes,No
10490650,HZ231582,2016-04-18 23:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,No,Sí,25.0,29.0,19.0,41.924321146,-87.774518865,2016,4,18,23,Lunes,No
10166302,HY354535,2015-07-24 23:57:00,NARCOTICS,POSS: CRACK,SIDEWALK,Sí,No,15.0,28.0,25.0,41.893523315,-87.757998728,2015,7,24,23,Viernes,No
8688827,HV364244,2012-07-02 21:30:00,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",STREET,No,No,24.0,49.0,2.0,42.016418519,-87.68751469,2012,7,2,21,Lunes,No
9879088,HX529722,2014-12-04 07:55:00,THEFT,OVER $500,STREET,No,No,9.0,11.0,60.0,41.826641194,-87.643562643,2014,12,4,7,Jueves,No
9010903,HW158294,2013-02-15 18:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,16.0,30.0,15.0,41.939348319,-87.756715902,2013,2,15,18,Viernes,No
10223959,HY410735,2015-09-04 19:53:00,NARCOTICS,POSS: HEROIN(WHITE),STREET,Sí,No,4.0,8.0,43.0,41.752506956,-87.576004685,2015,9,4,19,Viernes,No
8593573,HV267590,2012-02-27 10:00:00,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,No,No,15.0,28.0,25.0,41.894007293,-87.751658643,2012,2,27,10,Lunes,No
9793942,HX442700,2014-09-25 12:05:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Sí,No,15.0,28.0,25.0,41.880383764,-87.754158071,2014,9,25,12,Jueves,No
10739080,HZ499048,2016-11-01 22:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,No,No,4.0,10.0,52.0,41.702684248,-87.525274478,2016,11,1,22,Martes,No
10121203,HY310250,2015-06-19 01:00:00,THEFT,OVER $500,STREET,No,No,14.0,32.0,24.0,41.91072397,-87.660972253,2015,6,19,1,Viernes,No
10197092,HY384612,2015-08-16 10:30:00,ASSAULT,SIMPLE,APARTMENT,No,Sí,1.0,3.0,33.0,41.861161041,-87.627270627,2015,8,16,10,Domingo,Sí
9719188,HX369103,2014-07-31 22:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,2.0,4.0,35.0,41.830570976,-87.614470965,2014,7,31,22,Jueves,No
10377669,HZ114001,2016-01-13 11:41:00,NARCOTICS,POSS: HEROIN(WHITE),PARK PROPERTY,Sí,No,11.0,28.0,27.0,41.876929958,-87.720547176,2016,1,13,11,Miércoles,No
9534583,HX188477,2014-03-17 16:20:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,SIDEWALK,Sí,No,24.0,49.0,1.0,42.004638534,-87.659487619,2014,3,17,16,Lunes,No
9128106,HW272854,2013-05-13 14:00:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,No,No,16.0,41.0,10.0,41.975729425,-87.83489333,2013,5,13,14,Lunes,No
9504536,HX159459,2014-02-20 20:30:00,THEFT,$500 AND UNDER,STREET,No,No,6.0,6.0,49.0,41.72654643,-87.620720154,2014,2,20,20,Jueves,No
9233563,HW379923,2013-07-26 10:00:00,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,No,No,22.0,21.0,73.0,41.713831308,-87.652747281,2013,7,26,10,Viernes,No
8487019,HV163859,2012-02-18 21:16:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Sí,No,2.0,20.0,40.0,41.788624607,-87.607903085,2012,2,18,21,Sábado,Sí
9345655,HW488842,2013-10-11 11:30:00,BURGLARY,FORCIBLE ENTRY,OTHER,Sí,No,22.0,19.0,72.0,41.721369969,-87.674407868,2013,10,11,11,Viernes,No
10376836,HZ113345,2016-01-12 18:45:00,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,No,No,7.0,16.0,67.0,41.778992072,-87.656916606,2016,1,12,18,Martes,No
10278453,HY466770,2015-10-18 12:36:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Sí,No,8.0,15.0,66.0,41.774867297,-87.683524373,2015,10,18,12,Domingo,Sí
9384982,HW528483,2013-11-09 23:00:00,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),No,No,1.0,2.0,32.0,41.87049413,-87.633530701,2013,11,9,23,Sábado,Sí
10700887,HZ456226,2016-09-30 18:45:00,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,No,No,9.0,16.0,61.0,41.804170615,-87.655936628,2016,9,30,18,Viernes,No
8586983,HV261151,2012-04-27 19:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,No,Sí,17.0,39.0,14.0,41.969328595,-87.710943729,2012,4,27,19,Viernes,No
10641472,HZ393017,2016-08-11 17:40:00,THEFT,$500 AND UNDER,OTHER COMMERCIAL TRANSPORTATION,No,No,25.0,31.0,20.0,41.916102202,-87.739531729,2016,8,11,17,Jueves,No
8449375,HV127562,2012-01-22 14:15:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Sí,No,18.0,42.0,8.0,41.904466173,-87.631462688,2012,1,22,14,Domingo,Sí
10260430,HY446980,2015-10-02 13:20:00,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,No,No,9.0,20.0,61.0,41.805911519,-87.661251343,2015,10,2,13,Viernes,No
9340164,HW484178,2013-10-08 02:56:00,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,Sí,No,11.0,24.0,26.0,41.869976613,-87.729465614,2013,10,8,2,Martes,No
10428451,HZ165811,2016-02-26 13:10:00,CRIMINAL TRESPASS,TO LAND,RESTAURANT,Sí,No,25.0,37.0,25.0,41.909509901,-87.754996996,2016,2,26,13,Viernes,No
10578764,HZ327637,2016-06-28 21:05:00,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,Sí,No,15.0,29.0,25.0,41.894113031,-87.77011768,2016,6,28,21,Martes,No
10098569,HY286477,2015-06-01 17:00:00,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,No,No,3.0,6.0,69.0,41.764888231,-87.624892582,2015,6,1,17,Lunes,No
10436971,HZ174758,2016-03-04 17:15:00,THEFT,$500 AND UNDER,STREET,No,No,16.0,38.0,15.0,41.953202038,-87.765153132,2016,3,4,17,Viernes,No
9431460,HW575323,2013-10-24 14:00:00,DECEPTIVE PRACTICE,FORGERY,OTHER,No,No,16.0,41.0,76.0,41.98734814,-87.843119252,2013,10,24,14,Jueves,No
10358676,HY549799,2015-12-25 12:43:00,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,No,No,11.0,28.0,27.0,41.884994578,-87.71733391,2015,12,25,12,Viernes,No
9004450,HW151896,2013-02-10 21:24:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Sí,No,5.0,8.0,50.0,41.721319284,-87.594766734,2013,2,10,21,Domingo,Sí
10733599,HZ492594,2016-10-28 12:45:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,Sí,No,3.0,20.0,42.0,41.783424215,-87.609648327,2016,10,28,12,Viernes,No
10476157,HZ215281,2016-04-06 01:30:00,THEFT,FROM BUILDING,APARTMENT,No,No,7.0,20.0,68.0,41.775429728,-87.640753492,2016,4,6,1,Miércoles,No
10390304,HZ127206,2016-01-24 15:48:00,THEFT,OVER $500,APARTMENT,No,Sí,1.0,42.0,32.0,41.886511115,-87.618196037,2016,1,24,15,Domingo,Sí
9174458,HW318273,2013-06-14 12:40:00,THEFT,OVER $500,DEPARTMENT STORE,Sí,No,25.0,36.0,25.0,41.909307068,-87.80576669,2013,6,14,12,Viernes,No
9126350,HW271024,2013-05-12 10:42:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,No,No,4.0,10.0,52.0,41.704556764,-87.532457986,2013,5,12,10,Domingo,Sí
10227848,HY415288,2015-09-08 12:22:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Sí,No,7.0,15.0,67.0,41.782506798,-87.664293362,2015,9,8,12,Martes,No
8954825,HW103867,2013-01-03 23:45:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,No,Sí,5.0,34.0,49.0,41.695247013,-87.629110192,2013,1,3,23,Jueves,No
9637358,HX288227,2014-06-03 14:40:00,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,Sí,No,5.0,9.0,53.0,41.675397394,-87.623781069,2014,6,3,14,Martes,No
10311680,HY500139,2015-11-13 14:15:00,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,No,No,19.0,46.0,3.0,41.958474197,-87.65087832,2015,11,13,14,Viernes,No
8879524,HV553147,2012-11-06 00:00:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,No,No,7.0,17.0,67.0,41.764089838,-87.65772927,2012,11,6,0,Martes,No
10075422,HY264644,2015-05-17 23:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,3.0,20.0,42.0,41.778140686,-87.59614623,2015,5,17,23,Domingo,Sí
10162760,HY351367,2015-07-22 18:00:00,CRIMINAL TRESPASS,TO LAND,RESIDENCE-GARAGE,Sí,No,6.0,21.0,71.0,41.7408022,-87.639854252,2015,7,22,18,Miércoles,No
10399682,HZ136312,2016-02-01 08:30:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENTIAL YARD (FRONT/BACK),No,Sí,11.0,24.0,26.0,41.875250729,-87.726797963,2016,2,1,8,Lunes,No
10218980,HY405634,2015-09-01 00:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,No,No,25.0,31.0,19.0,41.924117393,-87.755530201,2015,9,1,0,Martes,No
10745243,HZ506037,2016-11-07 10:51:00,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),No,No,10.0,24.0,29.0,41.853127184,-87.719174068,2016,11,7,10,Lunes,No
8982755,HW129831,2013-01-23 20:30:00,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,RESIDENCE,Sí,No,25.0,30.0,20.0,41.918311341,-87.736362386,2013,1,23,20,Miércoles,No
8488654,HV166102,2012-02-15 23:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,No,No,3.0,20.0,42.0,41.781550965,-87.607212865,2012,2,15,23,Miércoles,No
10464590,HZ203978,2016-03-28 11:22:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,No,No,2.0,3.0,38.0,41.817702793,-87.618378796,2016,3,28,11,Lunes,No
8589306,HV264087,2012-04-29 22:30:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Sí,No,11.0,27.0,23.0,41.895903719,-87.723649492,2012,4,29,22,Domingo,Sí
9987978,HY178231,2015-03-06 00:01:00,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,No,No,19.0,46.0,3.0,41.968208915,-87.653363136,2015,3,6,0,Viernes,No
9799353,HX448090,2014-09-27 16:20:00,OTHER OFFENSE,TELEPHONE THREAT,OTHER,No,No,1.0,2.0,33.0,41.851811749,-87.61406434,2014,9,27,16,Sábado,Sí
8638593,HV306708,2012-05-28 03:40:00,BATTERY,SIMPLE,STREET,No,No,18.0,42.0,8.0,41.894817113,-87.632306604,2012,5,28,3,Lunes,No
10584914,HZ334938,2016-07-02 12:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,No,No,8.0,13.0,64.0,41.779000032,-87.770315805,2016,7,2,12,Sábado,Sí
8832960,HV505128,2012-09-21 13:00:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,No,No,11.0,28.0,26.0,41.877851597,-87.736092822,2012,9,21,13,Viernes,No
9423407,HW566735,2013-12-11 07:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,No,Sí,3.0,20.0,40.0,41.780946398,-87.621995369,2013,12,11,7,Miércoles,No
10588647,HZ339237,2016-07-07 11:00:00,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,SIDEWALK,Sí,No,8.0,23.0,56.0,41.810275218,-87.743224499,2016,7,7,11,Jueves,No
8976869,HW124202,2013-01-19 20:00:00,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,RESIDENCE,Sí,No,17.0,33.0,16.0,41.959940841,-87.715550049,2013,1,19,20,Sábado,Sí
9382663,HW519826,2013-11-03 20:00:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,No,No,3.0,20.0,42.0,41.781315845,-87.615652004,2013,11,3,20,Domingo,Sí
9252380,HW397443,2013-08-07 11:35:00,THEFT,$500 AND UNDER,STREET,No,No,9.0,16.0,63.0,41.797030355,-87.683553581,2013,8,7,11,Miércoles,No
8975185,HW122290,2013-01-18 14:25:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,No,No,16.0,41.0,10.0,41.989072943,-87.806881543,2013,1,18,14,Viernes,No
9631881,HX282485,2014-05-30 11:45:00,NARCOTICS,POSS: HEROIN(WHITE),VEHICLE NON-COMMERCIAL,Sí,No,5.0,9.0,49.0,41.708939758,-87.627532462,2014,5,30,11,Viernes,No
10726190,HZ485129,2016-10-22 22:15:00,ROBBERY,VEHICULAR HIJACKING,STREET,No,No,3.0,5.0,43.0,41.766700081,-87.573869353,2016,10,22,22,Sábado,Sí
10718887,HZ477612,2016-10-12 10:30:00,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,No,No,12.0,27.0,24.0,41.891019399,-87.663154858,2016,10,12,10,Miércoles,No
10787170,HZ556153,2016-12-16 15:00:00,THEFT,POCKET-PICKING,SMALL RETAIL STORE,No,No,18.0,42.0,8.0,41.890265219,-87.631089305,2016,12,16,15,Viernes,No
10070344,HY258809,2015-05-13 03:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,No,No,3.0,20.0,69.0,41.774330555,-87.615480591,2015,5,13,3,Miércoles,No
9174767,HW318918,2013-06-13 22:40:00,ROBBERY,AGGRAVATED,STREET,No,No,2.0,3.0,35.0,41.833871243,-87.626678966,2013,6,13,22,Jueves,No
8638389,HV312446,2012-05-31 09:00:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,No,No,9.0,11.0,34.0,41.846386468,-87.635434051,2012,5,31,9,Jueves,No
10212281,HY398765,2015-08-26 21:20:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,No,Sí,20.0,48.0,77.0,41.989694347,-87.656801867,2015,8,26,21,Miércoles,No
10273267,HY461263,2015-10-14 00:00:00,THEFT,POCKET-PICKING,CTA TRAIN,No,No,1.0,2.0,32.0,41.877850233,-87.629290122,2015,10,14,0,Miércoles,No
10048581,HY237871,2015-04-26 23:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,No,Sí,22.0,34.0,75.0,41.684938964,-87.652740671,2015,4,26,23,Domingo,Sí
9791892,HX441035,2014-09-23 16:30:00,THEFT,$500 AND UNDER,SIDEWALK,No,No,7.0,15.0,67.0,41.79329893,-87.66456619,2014,9,23,16,Martes,No
9059395,HW204337,2013-03-23 21:00:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,No,No,3.0,5.0,43.0,41.769044507,-87.569849709,2013,3,23,21,Sábado,Sí
9474975,HX128674,2014-01-26 18:43:00,NARCOTICS,POSS: HEROIN(WHITE),STREET,Sí,No,11.0,2.0,27.0,41.878902352,-87.698687126,2014,1,26,18,Domingo,Sí
9933647,HY122927,2015-01-20 21:10:00,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,CTA PLATFORM,No,No,1.0,42.0,32.0,41.885481891,-87.627935689,2015,1,20,21,Martes,No
10605792,HZ356199,2016-07-19 23:15:00,THEFT,PURSE-SNATCHING,SIDEWALK,No,No,3.0,6.0,69.0,41.772285481,-87.625115462,2016,7,19,23,Martes,No
10072507,HY260901,2015-05-14 11:30:00,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",No,No,2.0,3.0,38.0,41.814105006,-87.608301602,2015,5,14,11,Jueves,No
9221328,HW367812,2013-07-17 14:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,No,No,3.0,6.0,69.0,41.761314017,-87.621600135,2013,7,17,14,Miércoles,No
8485523,HV161813,2012-02-17 12:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,15.0,29.0,25.0,41.874807994,-87.7580895,2012,2,17,12,Viernes,No
9141354,HW285264,2013-05-21 18:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,No,Sí,3.0,5.0,43.0,41.767228929,-87.581256707,2013,5,21,18,Martes,No
10725468,HZ484183,2016-10-21 18:00:00,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,No,No,1.0,2.0,33.0,41.867013845,-87.625822134,2016,10,21,18,Viernes,No
9678488,HX328407,2014-07-01 18:00:00,THEFT,OVER $500,STREET,No,No,25.0,35.0,22.0,41.930745958,-87.720829837,2014,7,1,18,Martes,No
8436804,HV114636,2012-01-11 23:39:00,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,Sí,No,9.0,3.0,34.0,41.827079483,-87.63255077,2012,1,11,23,Miércoles,No
9756895,HX406581,2014-08-28 22:11:00,BATTERY,SIMPLE,CTA BUS,No,No,4.0,7.0,43.0,41.751732067,-87.565928387,2014,8,28,22,Jueves,No
9311803,HW456159,2013-09-17 19:43:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,Sí,No,9.0,14.0,58.0,41.815698952,-87.701622595,2013,9,17,19,Martes,No
10258678,HY445975,2015-10-01 15:45:00,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),Sí,No,14.0,35.0,22.0,41.93098088,-87.707399098,2015,10,1,15,Jueves,No
8711240,HV387935,2012-07-17 21:00:00,ASSAULT,SIMPLE,APARTMENT,No,No,3.0,6.0,69.0,41.768686282,-87.621775252,2012,7,17,21,Martes,No
10116569,HY305334,2015-06-17 17:45:00,THEFT,FROM BUILDING,RESIDENCE,No,No,17.0,33.0,16.0,41.956972089,-87.710560294,2015,6,17,17,Miércoles,No
10695425,HZ450646,2016-09-25 15:30:00,THEFT,$500 AND UNDER,RESIDENCE,No,No,3.0,20.0,42.0,41.7759576,-87.611924624,2016,9,25,15,Domingo,Sí
8706829,HV382133,2012-07-14 07:00:00,THEFT,$500 AND UNDER,OTHER,No,No,2.0,4.0,41.0,41.799460659,-87.596088967,2012,7,14,7,Sábado,Sí
8610078,HV284095,2012-05-13 02:05:00,THEFT,FROM BUILDING,BAR OR TAVERN,No,No,18.0,42.0,8.0,41.903929491,-87.629415106,2012,5,13,2,Domingo,Sí
10590546,HZ340126,2016-07-05 14:47:00,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,No,No,22.0,34.0,75.0,41.680536945,-87.670091285,2016,7,5,14,Martes,No
9241905,HW387799,2013-07-31 22:15:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,No,No,15.0,37.0,25.0,41.894873058,-87.762864284,2013,7,31,22,Miércoles,No
8880392,HV554082,2012-11-08 23:45:00,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,No,No,9.0,14.0,63.0,41.7974355,-87.68824372,2012,11,8,23,Jueves,No
10300977,HY489611,2015-11-04 22:45:00,ROBBERY,ARMED: HANDGUN,STREET,No,No,5.0,9.0,53.0,41.665675574,-87.617365924,2015,11,4,22,Miércoles,No
8784838,HV458749,2012-09-02 23:10:00,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,Sí,No,14.0,35.0,22.0,41.919575074,-87.699250625,2012,9,2,23,Domingo,Sí
10073241,HY261604,2015-05-15 12:15:00,BATTERY,SIMPLE,RESIDENCE,No,No,7.0,17.0,69.0,41.761135248,-87.630900966,2015,5,15,12,Viernes,No
9852904,HX501771,2014-10-25 11:30:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,No,No,16.0,39.0,12.0,41.994231277,-87.748337423,2014,10,25,11,Sábado,Sí
8977627,HW125286,2013-01-20 22:05:00,BATTERY,SIMPLE,RESIDENCE,Sí,No,6.0,21.0,71.0,41.739121992,-87.646134183,2013,1,20,22,Domingo,Sí
9143832,HW288810,2013-05-24 10:30:00,NARCOTICS,POSS: HEROIN(WHITE),STREET,Sí,No,11.0,28.0,26.0,41.88366381,-87.728209353,2013,5,24,10,Viernes,No
9633789,HX284976,2014-05-31 15:15:00,CRIMINAL TRESPASS,TO LAND,RESIDENCE,No,Sí,3.0,8.0,43.0,41.760137918,-87.580456191,2014,5,31,15,Sábado,Sí
10769175,HZ534453,2016-11-29 20:00:00,ASSAULT,PRO EMP HANDS NO/MIN INJURY,SIDEWALK,No,No,11.0,24.0,29.0,41.867096349,-87.723978351,2016,11,29,20,Martes,No
